Gestures,Hand,HandPalmPosition,HandPalmOrientation
3,Left,"(79.8135, 361.529, -49.5021)","(0.13526, 0.0242209, -0.990514)"
3,Left,"(77.776, 361.454, -50.0854)","(0.133403, 0.0271555, -0.99069)"
3,Left,"(75.6916, 361.533, -50.6774)","(0.130068, 0.029771, -0.991058)"
3,Left,"(73.5847, 361.807, -51.1008)","(0.124458, 0.0274244, -0.991846)"
3,Left,"(71.4091, 362.055, -51.4607)","(0.116082, 0.0268331, -0.992877)"
3,Left,"(69.2743, 362.295, -51.9103)","(0.111408, 0.0297216, -0.99333)"
3,Left,"(67.1991, 362.429, -52.3922)","(0.108197, 0.0340994, -0.993545)"
3,Left,"(65.0719, 362.559, -53.0248)","(0.10283, 0.0315726, -0.994198)"
3,Left,"(62.953, 362.827, -53.483)","(0.0987317, 0.0311826, -0.994625)"
3,Left,"(60.8311, 363.147, -54.0194)","(0.0936697, 0.028939, -0.995183)"
3,Left,"(58.7084, 363.358, -54.5444)","(0.0892404, 0.0306005, -0.99554)"
3,Left,"(56.6132, 363.641, -55.0914)","(0.0847112, 0.0283174, -0.996003)"
3,Left,"(54.5157, 364.242, -55.5876)","(0.0785485, 0.0258904, -0.996574)"
3,Left,"(52.3912, 364.69, -56.0185)","(0.0724654, 0.023646, -0.997091)"
3,Left,"(50.2929, 364.899, -56.3594)","(0.0696351, 0.0299897, -0.997122)"
3,Left,"(48.2064, 365.388, -56.772)","(0.0637731, 0.0332931, -0.997409)"
3,Left,"(46.1895, 366.033, -57.2237)","(0.0609816, 0.0366938, -0.997464)"
3,Left,"(44.1767, 366.497, -57.4762)","(0.0564897, 0.0419136, -0.997523)"
3,Left,"(42.158, 366.987, -57.689)","(0.051653, 0.0406859, -0.997836)"
3,Left,"(40.1273, 367.406, -58.1092)","(0.0474625, 0.0427466, -0.997958)"
3,Left,"(38.1731, 367.995, -58.4631)","(0.0440854, 0.0431637, -0.998095)"
3,Left,"(36.1878, 368.103, -58.836)","(0.0406402, 0.0509684, -0.997873)"
3,Left,"(34.1999, 368.246, -59.1538)","(0.0373811, 0.0442142, -0.998322)"
3,Left,"(32.3491, 368.656, -59.4746)","(0.0370056, 0.0424071, -0.998415)"
3,Left,"(30.4405, 369.006, -59.8999)","(0.0332965, 0.043942, -0.998479)"
3,Left,"(28.5107, 369.007, -60.3244)","(0.0299656, 0.0452622, -0.998526)"
